UserId,City,Name,Address,Website,Phone,Rating,Latitude,Longitude
1,Panchkula,Jai Maa - Best Property Dealers,House no 681, Sector 11,jaimaaproperty.com,92161 14634,5,30.7068408,76.7492094
1,Panchkula,Ishwar Property Consultants,House Number 619 Sector 12,ishwarpropertyconsultant.com,94174 31335,4.5,30.7068408,76.7492094
1,Panchkula,Gulshan Wadhera & CO.,Booth No 37 Sector 8,realestateindia.com,98154 80358,4.8,30.7068408,76.7492094
